"id","name","address","local","city","state","zip","lat","lng","phone","description","created_at","updated_at"
"3650","Valley Veterinary Hospital","320 Russell St","Hadley, MA 01035","Hadley","MA","01035",NULL,NULL,"(413) 584-1223","60. Valley Veterinary HospitalPet Boarding & KennelsVeterinariansVeterinary Clinics & Hospitals(2)WebsiteServices69 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3651","Howland & Sargent Group","48 South Rd","Somers, CT 06071","Somers","CT","06071",NULL,NULL,"(860) 763-2359","17. Howland & Sargent GroupPet Boarding & Kennels",NULL,NULL
"3652","Red Dog Inn","88 Tariffville Rd","Bloomfield, CT 06002","Bloomfield","CT","06002",NULL,NULL,"(860) 242-5618","62. Red Dog InnPet Boarding & KennelsKennelsPet Sitting & Exercising Services47 Yearsin Business",NULL,NULL
"3653","Rock Valley Kennels Inc","405 Rock Valley Rd","Holyoke, MA 01040","Holyoke","MA","01040",NULL,NULL,"(413) 535-5100","18. Rock Valley Kennels IncPet Boarding & KennelsPet GroomingWebsite25 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3654","Mutt Rescue, Inc.","102 Grove St","Chicopee, MA 01020","Chicopee","MA","01020",NULL,NULL,"(413) 331-0864","2. Mutt Rescue, Inc.Pet Boarding & KennelsPet GroomingWebsite",NULL,NULL
"3655","The Good Dog Spot Inc","35C N Chicopee St","Chicopee, MA 01020","Chicopee","MA","01020",NULL,NULL,"(413) 534-1333","40. The Good Dog Spot IncPet Boarding & KennelsPet ServicesPet GroomingWebsite17 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3656","Klassee K-9 Kennel","319 Loomis St","Westfield, MA 01085","Westfield","MA","01085",NULL,NULL,"(413) 562-1609","19. Klassee K-9 KennelPet Boarding & KennelsPet Grooming(1)Website75 Yearsin Business",NULL,NULL
"3657","porter road pet care","141 Porter Rd","East Longmeadow, MA 01028","East Longmeadow","MA","01028",NULL,NULL,"(413) 525-3532","4. porter road pet carePet Boarding & KennelsDog & Cat Grooming & SuppliesPet Grooming(1)Website33 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3658","The Grooming Room","1394 Memorial Dr","Chicopee, MA 01020","Chicopee","MA","01020",NULL,NULL,"(413) 536-4823","41. The Grooming RoomPet Boarding & KennelsPet GroomingKennels(1)Website",NULL,NULL
"3659","Shady Glen Boarding Kennel","37 Amherst Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 323-7349","20. Shady Glen Boarding KennelPet Boarding & KennelsPet Grooming34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3660","Howland Roger","146 Temby St","Springfield, MA 01119","Springfield","MA","01119",NULL,NULL,"(413) 783-2173","5. Howland RogerPet Boarding & Kennels",NULL,NULL
"3661","Mutt Cuts","63 1/2 Main St Ste 2","Chicopee, MA 01020","Chicopee","MA","01020",NULL,NULL,"(413) 594-8144","42. Mutt CutsPet Boarding & KennelsPet GroomingPet TrainingWebsite",NULL,NULL
"3662","Pet Hotel Hadley","155 Russell St","Hadley, MA 01035","Hadley","MA","01035",NULL,NULL,"(413) 586-5525","21. Pet Hotel HadleyPet Boarding & KennelsPet GroomingPet Supplies & Foods-Wholesale & ManufacturersWebsite10 Yearsin Business",NULL,NULL
"3663","Mt Tom Boarding Kennel","320 Easthampton Rd","Holyoke, MA 01040","Holyoke","MA","01040",NULL,NULL,"(413) 533-0217","6. Mt Tom Boarding KennelPet Boarding & KennelsPet Grooming(3)Website26 Yearsin Business",NULL,NULL
"3664","Kuzmickas Patricia A Dvm","498 College Hwy","Southwick, MA 01077","Southwick","MA","01077",NULL,NULL,"(413) 569-3866","43. Kuzmickas Patricia A DvmPet Boarding & KennelsVeterinariansVeterinary Clinics & HospitalsServices",NULL,NULL
"3665","The PAWS Training Group","433 Center St","Ludlow, MA 01056","Ludlow","MA","01056",NULL,NULL,"(508) 414-7017","7. The PAWS Training GroupPet Boarding & KennelsDog TrainingPet Specialty ServicesWebsite25 Yearsin Business",NULL,NULL
"3666","Wright Pet Sitter & Groomer","85 City View Blvd","Westfield, MA 01085","Westfield","MA","01085",NULL,NULL,"(413) 747-4968","44. Wright Pet Sitter & GroomerPet Boarding & KennelsPet Sitting & Exercising ServicesKennels16 Yearsin Business",NULL,NULL
"3667","A Parade of Pets","60 Pleasant St","Easthampton, MA 01027","Easthampton","MA","01027",NULL,NULL,"(413) 527-8036","22. A Parade of PetsPet Boarding & KennelsWebsite",NULL,NULL
"3668","Contented Cats","340 Amherst Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 813-1718","23. Contented CatsPet Boarding & KennelsPet Sitting & Exercising Services6 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3669","Happy Tails Pet Sitting","1 William St","Enfield, CT 06082","Enfield","CT","06082",NULL,NULL,"(860) 741-8008","45. Happy Tails Pet SittingPet Boarding & KennelsPet Sitting & Exercising Services",NULL,NULL
"3670","Best In Show Pet Spa","250 Main St","Windsor Locks, CT 06096","Windsor Locks","CT","06096",NULL,NULL,"(860) 386-0590","24. Best In Show Pet SpaPet Boarding & KennelsKennels14 Yearsin Business",NULL,NULL
"3671","Catie Nail & Spa","204 Elm St","Enfield, CT 06082","Enfield","CT","06082",NULL,NULL,"(860) 265-3232","46. Catie Nail & SpaPet Boarding & KennelsKennels",NULL,NULL
"3672","Country Canine Kennels","84 Greenwich Plns Rd","Ware, MA 01082","Ware","MA","01082",NULL,NULL,"(413) 277-0334","25. Country Canine KennelsPet Boarding & Kennels",NULL,NULL
"3673","Pet Pals Bed & Biscuit","334 Somers Rd","Hampden, MA 01036","Hampden","MA","01036",NULL,NULL,"(413) 566-9866","8. Pet Pals Bed & BiscuitPet Boarding & KennelsKennels23 Yearsin Business",NULL,NULL
"3674","K9 Etiquette","59 Bridge St","South Hadley, MA 01075","South Hadley","MA","01075",NULL,NULL,"(413) 387-4368","47. K9 EtiquettePet Boarding & KennelsPet TrainingPet ServicesWebsite",NULL,NULL
"3675","Valley Inn For Pets","320 Russell St # 9539","Hadley, MA 01035","Hadley","MA","01035",NULL,NULL,"(413) 584-5252","26. Valley Inn For PetsPet Boarding & KennelsWebsite",NULL,NULL
"3676","Rock Valley Kennels Inc","405 Rock Valley Rd","Holyoke, MA 01040","Holyoke","MA","01040",NULL,NULL,"(413) 535-5100","9. Rock Valley Kennels IncPet Boarding & KennelsPet GroomingWebsite25 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3677","Suffield Veterinary Hospital","577 East St S","Suffield, CT 06078","Suffield","CT","06078",NULL,NULL,"(860) 668-4041","50. Suffield Veterinary HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinarians(1)WebsiteServices40 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3678","Grinning Dog","250 Southampton Rd","Westhampton, MA 01027","Westhampton","MA","01027",NULL,NULL,"(413) 527-3652","27. Grinning DogPet Boarding & KennelsWebsite15 Yearsin Business",NULL,NULL
"3679","Wintergreen Kennels","10 Douglas Rd","Southampton, MA 01073","Southampton","MA","01073",NULL,NULL,"(413) 562-9478","10. Wintergreen KennelsPet Boarding & KennelsPet GroomingPet StoresWebsiteServices49 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3680","Creature Comforts Boarding Kennel Creature Comforts Boarding Kennel","111 North Rd","Westhampton, MA 01027","Westhampton","MA","01027",NULL,NULL,"(413) 527-9999","28. Creature Comforts Boarding Kennel Creature Comforts Boarding KennelPet Boarding & Kennels27 Yearsin Business",NULL,NULL
"3681","Pampurred Puss","149 East St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-1077","11. Pampurred PussPet Boarding & KennelsWebsite24 Yearsin BusinessAccreditedBusinessAmenities:Wheelchair accessible",NULL,NULL
"3682","Kessler Kennel Farms","42 Copper Hill Rd","East Granby, CT 06026","East Granby","CT","06026",NULL,NULL,"(860) 653-3206","29. Kessler Kennel FarmsPet Boarding & KennelsWebsite17 Yearsin BusinessAccreditedBusinessAmenities:Wheelchair accessible",NULL,NULL
"3683","Klassee K-9 Kennel","319 Loomis St","Westfield, MA 01085","Westfield","MA","01085",NULL,NULL,"(413) 562-1609","12. Klassee K-9 KennelPet Boarding & KennelsPet Grooming(1)Website75 Yearsin Business",NULL,NULL
"3684","Country Inn Kennels","110 Sandy Beach Rd","Ellington, CT 06029","Ellington","CT","06029",NULL,NULL,"(860) 872-9551","30. Country Inn KennelsPet Boarding & Kennels24 Yearsin Business",NULL,NULL
"3685","Barking Bublles","52 W State St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-1620","51. Barking BubllesPet Boarding & KennelsKennelsPet Grooming",NULL,NULL
"3686","Wintergreen Kennels","10 Douglas Rd","Southampton, MA 01073","Southampton","MA","01073",NULL,NULL,"(413) 562-9478","31. Wintergreen KennelsPet Boarding & KennelsPet GroomingPet StoresWebsiteServices49 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3687","Granby Animal Clinic Inc","51 W State St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-9280","52. Granby Animal Clinic IncPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinariansWebsiteServicesAmenities:Wheelchair accessible",NULL,NULL
"3688","Precious Pets Bed & Breakfast","17 Stiles Rd","Broad Brook, CT 06016","Broad Brook","CT","06016",NULL,NULL,"(860) 254-5423","32. Precious Pets Bed & BreakfastPet Boarding & Kennels18 Yearsin Business",NULL,NULL
"3689","K 9 Capers","2 River Rd","Wilbraham, MA 01095","Wilbraham","MA","01095",NULL,NULL,"(413) 786-9907","33. K 9 CapersPet Boarding & KennelsPet Sitting & Exercising ServicesWebsite",NULL,NULL
"3690","Howland & Sargent Group","48 South Rd","Somers, CT 06071","Somers","CT","06071",NULL,NULL,"(860) 763-2359","13. Howland & Sargent GroupPet Boarding & Kennels",NULL,NULL
"3691","Pampered Pooch","52 Prospect St","East Longmeadow, MA 01028","East Longmeadow","MA","01028",NULL,NULL,"(413) 525-1644","34. Pampered PoochPet Boarding & KennelsPet GroomingPet StoresWebsite49 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3692","Maplewood Boarding Kennels","16 East St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-9621","14. Maplewood Boarding KennelsPet Boarding & Kennels34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3693","Stirling Kennels","139 Stafford Hollow Rd","Monson, MA 01057","Monson","MA","01057",NULL,NULL,"(413) 267-4290","15. Stirling KennelsPet Boarding & KennelsPet Grooming40 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3694","Dream Dogs","744 Main St","Somers, CT 06071","Somers","CT","06071",NULL,NULL,"(860) 749-4531","16. Dream DogsPet Boarding & KennelsPet Services(2)29 Yearsin Business",NULL,NULL
"3695","Belchertown Boarding Kennel","176 Ware Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 323-7641","17. Belchertown Boarding KennelPet Boarding & KennelsPet TrainingWebsite46 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3696","Shady Glen Boarding Kennel","37 Amherst Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 323-7349","18. Shady Glen Boarding KennelPet Boarding & KennelsPet Grooming34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3697","Stirling Kennels","139 Stafford Hollow Rd","Monson, MA 01057","Monson","MA","01057",NULL,NULL,"(413) 267-4290","12. Stirling KennelsPet Boarding & KennelsPet Grooming40 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3698","Maplewood Boarding Kennels","16 East St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-9621","13. Maplewood Boarding KennelsPet Boarding & Kennels34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3699","Pampurred Puss","149 East St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-1077","14. Pampurred PussPet Boarding & KennelsWebsite24 Yearsin BusinessAccreditedBusinessAmenities:Wheelchair accessible",NULL,NULL
"3700","Mt Tom Boarding Kennel","320 Easthampton Rd","Holyoke, MA 01040","Holyoke","MA","01040",NULL,NULL,"(413) 533-0217","15. Mt Tom Boarding KennelPet Boarding & KennelsPet Grooming(3)Website26 Yearsin Business",NULL,NULL
"3701","Klassee K-9 Kennel","319 Loomis St","Westfield, MA 01085","Westfield","MA","01085",NULL,NULL,"(413) 562-1609","16. Klassee K-9 KennelPet Boarding & KennelsPet Grooming(1)Website75 Yearsin Business",NULL,NULL
"3702","Belchertown Boarding Kennel","176 Ware Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 323-7641","17. Belchertown Boarding KennelPet Boarding & KennelsPet TrainingWebsite46 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3703","Shady Glen Boarding Kennel","37 Amherst Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 323-7349","18. Shady Glen Boarding KennelPet Boarding & KennelsPet Grooming34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3704","Zoo-Crew Pet Sitting","P.O. Box 201","Vernon Rockville, CT 06066","Vernon Rockville","CT","06066",NULL,NULL,"(860) 966-2459","19. Zoo-Crew Pet SittingPet Boarding & KennelsPet Sitting & Exercising ServicesPet Specialty Services(4)Website20 Yearsin Business",NULL,NULL
"3705","Hidden Acres Kennel","247 Plains Rd","Tolland, CT 06084","Tolland","CT","06084",NULL,NULL,"(860) 871-9272","20. Hidden Acres KennelPet Boarding & KennelsPet ServicesPet Training(3)WebsiteDirectionsMore Info20 Yearsin Business9 Years withYellow Pages",NULL,NULL
"3706","Best In Show Pet Spa","250 Main St","Windsor Locks, CT 06096","Windsor Locks","CT","06096",NULL,NULL,"(860) 386-0590","21. Best In Show Pet SpaPet Boarding & KennelsKennels14 Yearsin Business",NULL,NULL
"3707","A Parade of Pets","60 Pleasant St","Easthampton, MA 01027","Easthampton","MA","01027",NULL,NULL,"(413) 527-8036","22. A Parade of PetsPet Boarding & KennelsWebsite",NULL,NULL
"3708","Country Canine Kennels","84 Greenwich Plns Rd","Ware, MA 01082","Ware","MA","01082",NULL,NULL,"(413) 277-0334","23. Country Canine KennelsPet Boarding & Kennels",NULL,NULL
"3709","Lazy Dog Pet Salon & Daycare","601 Talcottville Rd","Vernon, CT 06066","Vernon","CT","06066",NULL,NULL,"(860) 870-7054","24. Lazy Dog Pet Salon & DaycarePet Boarding & KennelsPet ServicesKennelsWebsite13 Yearsin Business",NULL,NULL
"3710","Kessler Kennel Farms","42 Copper Hill Rd","East Granby, CT 06026","East Granby","CT","06026",NULL,NULL,"(860) 653-3206","25. Kessler Kennel FarmsPet Boarding & KennelsWebsite17 Yearsin BusinessAccreditedBusinessAmenities:Wheelchair accessible",NULL,NULL
"3711","The Soapy Dog Spa","650 Page Blvd","Springfield, MA 01104","Springfield","MA","01104",NULL,NULL,"(413) 733-8908","35. The Soapy Dog SpaPet Boarding & KennelsKennelsPet GroomingWebsite17 Yearsin Business",NULL,NULL
"3712","The Grooming Room","1394 Memorial Dr","Chicopee, MA 01020","Chicopee","MA","01020",NULL,NULL,"(413) 536-4823","38. The Grooming RoomPet Boarding & KennelsPet GroomingKennels(1)Website",NULL,NULL
"3713","Mutt Cuts","63 1/2 Main St Ste 2","Chicopee, MA 01020","Chicopee","MA","01020",NULL,NULL,"(413) 594-8144","39. Mutt CutsPet Boarding & KennelsPet GroomingPet TrainingWebsite",NULL,NULL
"3714","K9 Capers","87 Ramah Cir S","Agawam, MA 01001","Agawam","MA","01001",NULL,NULL,"(413) 786-9907","40. K9 CapersPet Boarding & KennelsKennelsPet Sitting & Exercising Services",NULL,NULL
"3715","Granby Animal Clinic Inc","51 State St","Chicopee, MA 01013","Chicopee","MA","01013",NULL,NULL,"(413) 467-9280","41. Granby Animal Clinic IncPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinary LabsWebsiteServices26 Yearsin Business",NULL,NULL
"3716","Boudreau Barbara DVM","1028 Thorndike St","Palmer, MA 01069","Palmer","MA","01069",NULL,NULL,"(413) 283-9782","42. Boudreau Barbara DVMPet Boarding & KennelsVeterinariansVeterinary Clinics & HospitalsWebsiteServices",NULL,NULL
"3717","Agawam Dogworks","860 Suffield St","Agawam, MA 01001","Agawam","MA","01001",NULL,NULL,"(413) 342-4435","43. Agawam DogworksPet Boarding & KennelsPet Sitting & Exercising ServicesPet ServicesWebsiteAmenities:Wheelchair accessible",NULL,NULL
"3718","Rufflections Dog Spa","1240 Park St","Palmer, MA 01069","Palmer","MA","01069",NULL,NULL,"(413) 289-9099","44. Rufflections Dog SpaPet Boarding & KennelsKennelsPet Grooming",NULL,NULL
"3719","The Good Dog Spot Inc","35C N Chicopee St","Chicopee, MA 01020","Chicopee","MA","01020",NULL,NULL,"(413) 534-1333","45. The Good Dog Spot IncPet Boarding & KennelsPet ServicesPet GroomingWebsite17 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3720","Suffield Veterinary Hospital","577 East St S","Suffield, CT 06078","Suffield","CT","06078",NULL,NULL,"(860) 668-4041","50. Suffield Veterinary HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinarians(1)WebsiteServices40 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3721","K9 Etiquette","59 Bridge St","South Hadley, MA 01075","South Hadley","MA","01075",NULL,NULL,"(413) 387-4368","46. K9 EtiquettePet Boarding & KennelsPet TrainingPet ServicesWebsite",NULL,NULL
"3722","Barking Bublles","52 W State St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-1620","51. Barking BubllesPet Boarding & KennelsKennelsPet Grooming",NULL,NULL
"3723","Barking Bublles","52 W State St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-1620","47. Barking BubllesPet Boarding & KennelsKennelsPet Grooming",NULL,NULL
"3724","Granby Animal Clinic Inc","51 W State St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-9280","52. Granby Animal Clinic IncPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinariansWebsiteServicesAmenities:Wheelchair accessible",NULL,NULL
"3725","Granby Animal Clinic Inc","51 W State St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-9280","48. Granby Animal Clinic IncPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinariansWebsiteServicesAmenities:Wheelchair accessible",NULL,NULL
"3726","Boudreau Barbara DVM","1028 Thorndike St","Palmer, MA 01069","Palmer","MA","01069",NULL,NULL,"(413) 283-9782","53. Boudreau Barbara DVMPet Boarding & KennelsVeterinariansVeterinary Clinics & HospitalsWebsiteServices",NULL,NULL
"3727","Catie Nail & Spa","204 Elm St","Enfield, CT 06082","Enfield","CT","06082",NULL,NULL,"(860) 265-3232","49. Catie Nail & SpaPet Boarding & KennelsKennels",NULL,NULL
"3728","Happy Tails Pet Sitting","1 William St","Enfield, CT 06082","Enfield","CT","06082",NULL,NULL,"(860) 741-8008","50. Happy Tails Pet SittingPet Boarding & KennelsPet Sitting & Exercising Services",NULL,NULL
"3729","Rufflections Dog Spa","1240 Park St","Palmer, MA 01069","Palmer","MA","01069",NULL,NULL,"(413) 289-9099","54. Rufflections Dog SpaPet Boarding & KennelsKennelsPet Grooming",NULL,NULL
"3730","Pampered Pet Sitting","247 Northampton St Ste B","Easthampton, MA 01027","Easthampton","MA","01027",NULL,NULL,"(413) 529-0011","55. Pampered Pet SittingPet Boarding & KennelsPet Sitting & Exercising ServicesKennelsWebsite16 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3731","The Green Groomer","123 Hawley St","Northampton, MA 01060","Northampton","MA","01060",NULL,NULL,"(413) 586-7226","56. The Green GroomerPet Boarding & KennelsPet GroomingPet StoresWebsiteAccreditedBusiness",NULL,NULL
"3732","Camp K-9","202 Union St","Westfield, MA 01085","Westfield","MA","01085",NULL,NULL,"(413) 642-3761","51. Camp K-9Pet Boarding & KennelsPet ServicesDog Day CareWebsite8 Yearsin Business",NULL,NULL
"3733","Noho Pet Sitters","Po Box 60113","Florence, MA 01062","Florence","MA","01062",NULL,NULL,"(413) 537-2235","57. Noho Pet SittersPet Boarding & KennelsPet Sitting & Exercising ServicesWebsite",NULL,NULL
"3734","Kuzmickas Patricia A Dvm","498 College Hwy","Southwick, MA 01077","Southwick","MA","01077",NULL,NULL,"(413) 569-3866","53. Kuzmickas Patricia A DvmPet Boarding & KennelsVeterinariansVeterinary Clinics & HospitalsServices",NULL,NULL
"3735","Barking Bubbles","119 Federal St","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 467-1620","58. Barking BubblesPet Boarding & KennelsPet GroomingAccreditedBusiness",NULL,NULL
"3736","Wright Pet Sitter & Groomer","85 City View Blvd","Westfield, MA 01085","Westfield","MA","01085",NULL,NULL,"(413) 747-4968","54. Wright Pet Sitter & GroomerPet Boarding & KennelsPet Sitting & Exercising ServicesKennels16 Yearsin Business",NULL,NULL
"3737","Bark Inn Kennel","183 Wales Rd","Stafford Springs, CT 06076","Stafford Springs","CT","06076",NULL,NULL,"(860) 684-7436","59. Bark Inn KennelPet Boarding & KennelsKennelsWebsite28 Yearsin Business",NULL,NULL
"3738","Pampered Pet Sitting","247 Northampton St Ste B","Easthampton, MA 01027","Easthampton","MA","01027",NULL,NULL,"(413) 529-0011","55. Pampered Pet SittingPet Boarding & KennelsPet Sitting & Exercising ServicesKennelsWebsite16 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3739","Valley Veterinary Hospital","320 Russell St","Hadley, MA 01035","Hadley","MA","01035",NULL,NULL,"(413) 584-1223","60. Valley Veterinary HospitalPet Boarding & KennelsVeterinariansVeterinary Clinics & Hospitals(2)WebsiteServices69 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3740","Suffield Veterinary Hospital","577 East St S","Suffield, CT 06078","Suffield","CT","06078",NULL,NULL,"(860) 668-4041","56. Suffield Veterinary HospitalPet Boarding & KennelsVeterinary Clinics & HospitalsVeterinarians(1)WebsiteServices40 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3741","Red Dog Inn","88 Tariffville Rd","Bloomfield, CT 06002","Bloomfield","CT","06002",NULL,NULL,"(860) 242-5618","62. Red Dog InnPet Boarding & KennelsKennelsPet Sitting & Exercising Services47 Yearsin Business",NULL,NULL
"3742","Howland Roger","146 Temby St","Springfield, MA 01119","Springfield","MA","01119",NULL,NULL,"(413) 783-2173","1. Howland RogerPet Boarding & Kennels",NULL,NULL
"3743","The PAWS Training Group","433 Center St","Ludlow, MA 01056","Ludlow","MA","01056",NULL,NULL,"(508) 414-7017","2. The PAWS Training GroupPet Boarding & KennelsDog TrainingPet Specialty ServicesWebsite25 Yearsin Business",NULL,NULL
"3744","Mutt Rescue, Inc.","102 Grove St","Chicopee, MA 01020","Chicopee","MA","01020",NULL,NULL,"(413) 331-0864","4. Mutt Rescue, Inc.Pet Boarding & KennelsPet GroomingWebsite",NULL,NULL
"3745","porter road pet care","141 Porter Rd","East Longmeadow, MA 01028","East Longmeadow","MA","01028",NULL,NULL,"(413) 525-3532","6. porter road pet carePet Boarding & KennelsDog & Cat Grooming & SuppliesPet Grooming(1)Website33 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3746","The Barn Cat","2136 Baptist Hill Rd","Palmer, MA 01069","Palmer","MA","01069",NULL,NULL,"(413) 364-5556","7. The Barn CatPet Boarding & KennelsWebsite",NULL,NULL
"3747","Maplewood Boarding Kennels","16 East St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-9621","8. Maplewood Boarding KennelsPet Boarding & Kennels34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3748","Pampurred Puss","149 East St","Granby, MA 01033","Granby","MA","01033",NULL,NULL,"(413) 467-1077","9. Pampurred PussPet Boarding & KennelsWebsite24 Yearsin BusinessAccreditedBusinessAmenities:Wheelchair accessible",NULL,NULL
"3749","Mt Tom Boarding Kennel","320 Easthampton Rd","Holyoke, MA 01040","Holyoke","MA","01040",NULL,NULL,"(413) 533-0217","10. Mt Tom Boarding KennelPet Boarding & KennelsPet Grooming(3)Website26 Yearsin Business",NULL,NULL
"3750","Dream Dogs","744 Main St","Somers, CT 06071","Somers","CT","06071",NULL,NULL,"(860) 749-4531","16. Dream DogsPet Boarding & KennelsPet Services(2)29 Yearsin Business",NULL,NULL
"3751","Pet Pals Bed & Biscuit","334 Somers Rd","Hampden, MA 01036","Hampden","MA","01036",NULL,NULL,"(413) 566-9866","11. Pet Pals Bed & BiscuitPet Boarding & KennelsKennels23 Yearsin Business",NULL,NULL
"3752","Belchertown Boarding Kennel","176 Ware Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 323-7641","17. Belchertown Boarding KennelPet Boarding & KennelsPet TrainingWebsite46 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3753","Rock Valley Kennels Inc","405 Rock Valley Rd","Holyoke, MA 01040","Holyoke","MA","01040",NULL,NULL,"(413) 535-5100","12. Rock Valley Kennels IncPet Boarding & KennelsPet GroomingWebsite25 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3754","Shady Glen Boarding Kennel","37 Amherst Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 323-7349","18. Shady Glen Boarding KennelPet Boarding & KennelsPet Grooming34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3755","Belchertown Boarding Kennel","176 Ware Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 323-7641","13. Belchertown Boarding KennelPet Boarding & KennelsPet TrainingWebsite46 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3756","Pet Hotel Hadley","155 Russell St","Hadley, MA 01035","Hadley","MA","01035",NULL,NULL,"(413) 586-5525","19. Pet Hotel HadleyPet Boarding & KennelsPet GroomingPet Supplies & Foods-Wholesale & ManufacturersWebsite10 Yearsin Business",NULL,NULL
"3757","Camelot Kennels","40 Ely Rd","Monson, MA 01057","Monson","MA","01057",NULL,NULL,"(413) 267-4036","20. Camelot KennelsPet Boarding & KennelsPet ServicesKennels(1)Website34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3758","Shady Glen Boarding Kennel","37 Amherst Rd","Belchertown, MA 01007","Belchertown","MA","01007",NULL,NULL,"(413) 323-7349","14. Shady Glen Boarding KennelPet Boarding & KennelsPet Grooming34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3759","Camelot Kennels","40 Ely Rd","Monson, MA 01057","Monson","MA","01057",NULL,NULL,"(413) 267-4036","15. Camelot KennelsPet Boarding & KennelsPet ServicesKennels(1)Website34 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3760","The Barn Cat","2136 Baptist Hill Rd","Palmer, MA 01069","Palmer","MA","01069",NULL,NULL,"(413) 364-5556","21. The Barn CatPet Boarding & KennelsWebsite",NULL,NULL
"3761","A Parade of Pets","60 Pleasant St","Easthampton, MA 01027","Easthampton","MA","01027",NULL,NULL,"(413) 527-8036","16. A Parade of PetsPet Boarding & KennelsWebsite",NULL,NULL
"3762","A Parade of Pets","60 Pleasant St","Easthampton, MA 01027","Easthampton","MA","01027",NULL,NULL,"(413) 527-8036","22. A Parade of PetsPet Boarding & KennelsWebsite",NULL,NULL
"3763","Wintergreen Kennels","10 Douglas Rd","Southampton, MA 01073","Southampton","MA","01073",NULL,NULL,"(413) 562-9478","17. Wintergreen KennelsPet Boarding & KennelsPet GroomingPet StoresWebsiteServices49 Yearsin BusinessAccreditedBusiness",NULL,NULL
"3764","Best In Show Pet Spa","250 Main St","Windsor Locks, CT 06096","Windsor Locks","CT","06096",NULL,NULL,"(860) 386-0590","23. Best In Show Pet SpaPet Boarding & KennelsKennels14 Yearsin Business",NULL,NULL
